brand_id,brand_name,founded_year,end_year,status,founder,country,hq_city,parent_company,confidence,notes,sources
heavy-tools,Heavy Tools,,,defunct,,,,,likely,European neon-era entry; Flip model 1989.,https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
heelside,Heelside,,,dormant,Jim Ferguson,USA,,,likely,"Started as a boot company, expanded to boards (late 1990s); listed on SnowDB. Current status not verified.",https://jeffharbaugh.com/hey-how-come-youre-still-around-conversations-with-survivors/ | https://www.snowdb.com/
hf,HF,,,defunct,,France,Pyrenees,,likely,Early 1980s.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
hiper,Hiper,1980,,defunct,Myron Knapschafer,USA,"Denver, Colorado",,verified,Hyperslick base.,https://www.summitdaily.com/news/innovation-drove-smaller-colorado-snowboard-companies/ | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
hooger-booger,Hooger Booger,1983,,defunct,Jose Fernandes and Antoine Massy,Switzerland,Bern,Scott (late 1980s),verified,"Pioneered asymmetric sidecuts; neon pink 'feather' branding. Bought by Scott Corporation and later discontinued. | ISM 1988: 'Sporting Goods by Kitchener', Bern. TWS Oct 1992: making boards for ten years, claims first modern asymmetrical boards (Snowboarder timeline: asym board 1986).",http://www.illicitsnowboarding.com/2012/03/legends-of-fallen-vintage-snowboard.html | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://snowboarding8090.com/history/ | https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93 | https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s
hot,HOT,1984,,revived,Serge Dupraz,Switzerland,near Lake Geneva (Swiss-French border),,verified,"Founded winter 1983/84; Revolution (1988) and One Sixty enabled extreme carving. Dupraz licensed production 1990 and left 1991; brand disappeared, later owned by Grand Chavin (with Hammer) which merged with A Snowboards in 1997. Relaunched by Dupraz in 2019. | Michigan museum reference list dates Hot to 1984; Revolution model 1988.",https://www.boardsportsource.com/legend-serge-dupraz-resurrects-hot-snowboards-brand-profile/ | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://archive.org/details/tws-89-93
icon,Icon,2000,,dormant,,Finland,,,likely,'Immortal Cowboys Of North Oy'; own Finnish factory; listed on SnowDB.,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html | https://www.snowdb.com/
imperium,Imperium,2004,,dormant,Demir Julia,Belgium,"Les Arcs, France",United Brands (2009),likely,Hip-hop styled boards; Austrian OEM. Current status not verified.,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html
inferno,Inferno,,,defunct,,Austria,Pinzgau,,likely,Late 1980s.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
jacks,Jacks,,,defunct,,Italy,,,likely,,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
jasey-jay-anderson,Jasey-Jay Anderson,,,active,Jasey-Jay Anderson,Canada,,,likely,Race boards by the Olympic champion.,https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
joint,Joint,2011,,dormant,,Russia,Novosibirsk,,likely,,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html
jones,Jones,2009,,active,Jeremy Jones,USA,"Truckee, California",Nidecker Group (Nidecker US Inc.),verified,Freeride/splitboard focus; partnership with Nidecker from 2011. | Freeride/splitboard brand founded with Nidecker; Wikipedia gives 2009 (infobox) or 2010 (body).,https://www.jonessnowboards.com/pages/our-story | https://www.ndk.swiss/heritage/ | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://en.wikipedia.org/wiki/Jones_Snowboards
joyride,Joyride,,,revived,Andy Shotts,Canada,"Fairplay, Colorado",,likely,"Mid-1990s street/skate-inspired brand (Plan B / Danny Way collaboration); now reissuing original boards. | Early-1990s brand; five boards (1992-1993) catalogued at Retro Snow museum. No other facts confirmed. | TWS Oct 1993: Solid facility run by Joyride founder Andy Shotts in Fairplay, CO; Ken Greenguard president.",https://joyride-snowboards.com/history.html | https://retrosnow.com/product-category/joyride/ | https://archive.org/details/tws-89-93
k2,K2,1962,,active,Bill and Don Kirschner,USA,"Seattle, Washington (founded Vashon Island)","Elevate Outdoor Collective (Kohlberg & Co, 2017)",verified,"Ski maker; snowboards from 1987/88 (Gyrator). Bought Morrow assets (Mar 1999) and Ride (Aug 1999). Jarden 2007, Newell 2016, Kohlberg 2017. | K2 Snowboards; first model Gyrator per Whitelines. | Ski maker; snowboard line started 1988 (The-House K2 history). Fatbob pioneered variable-width theory; Clicker step-in 1995.",https://www.the-house.com/portal/history-of-k2/ | https://grokipedia.com/page/K2_Sports | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html
kemper,Kemper,1987,,revived,David Kemper (with George Pappas),Canada,"Park City, Utah (revived); originally Ontario, then Montreal and Austria",,verified,"Garage production in Ontario 1984/85; company 1987; Romney Group partnership 1989; sold to California Pro (inline skates) Aug 1994 for $1M; out of business c.1996. Relaunched 2018 by Jib Hunt; moved to Park City 2019. SnowBrains reports it ceased again in 2022. | Wikipedia: incorporated 1987 (handmade from 1983), moved to Montreal then Austria production, sold to California Pro 1994, closed mid-1990s, relaunched 2018 with reissues of original graphics. ISM 1988 address 1775 Blythe Road, Mississauga.",http://www.illicitsnowboarding.com/2012/03/legends-of-fallen-vintage-snowboard.html | https://www.boardsportsource.com/bringing-retro-back-kemper-snowboards-relaunch-with-classic-shapes/ | https://kempersnowboards.wordpress.com/2020/11/27/kemper-snowboards-the-iconic-snowboard-brand-from-the-1980s/ | https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s | https://snowbrains.com/top-5-most-missed-snowboard-brands-according-to-snowbrains-readers/ | https://en.wikipedia.org/wiki/Kemper_Snowboards | https://archive.org/details/ISM-87-91
kessler,Kessler,1988,,active,Hansjurg Kessler,Switzerland,,,verified,"Race/alpine boards; Kessler Shape Technology; most-winning race board maker at Olympics and Worlds. | Kessler Ski & Snowboards; site is JS-only, model list not extracted. THIN.",https://www.absolute-snow.com/brands/kessler | https://i-carve.com/snowboards/kessler_snowboards | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/ | https://www.kessler-swiss.com/
kneissl,Kneissl,,,defunct,,Austria,,,likely,"Austrian ski maker (company roots 1862, skis since 1900 per museum page); brief snowboard entry, Pipestar c.1989/90. Also Largo Bigfoot. Snowboard-line start year not documented.",https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
korua-shapes,Korua Shapes,2012,,active,Stephan Maurer and Nicolas Wolken,Germany,Brannenburg,,verified,Japan-inspired carving/powder shapes; Whitelines A-Z dates 2014. | Brand site says inspired by a 2012 Japan trip; Whitelines gives founding 2014. Carving/powder shapes; Plus line is stiffer versions.,https://koruashapes.com/pages/our-story | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.fieldmag.com/articles/most-influential-international-snowboard-brands | https://www.koruashapes.com/pages/our-story
lacroix,LaCroix,,,defunct,,,,Surf Politix (Oct 1996),likely,Bankrupt within two years of the sale.,https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world
lamar,Lamar,1989,,dormant,Bert LaMar,USA,,Gen-X Sports (Aug 1998) / Global Sports,verified,"Bert LaMar (1987 World Halfpipe Champion; earlier Look Lamar boards) started Lamar from a garage in 1989; sold to Gen-X 1998. Continued as a price-point brand into the 2010s (Snowboarder 2011 preview, SnowDB). | Appears as its own brand ('LaMar') in TWS guides from the Oct 1991 issue after the Look Lamar era.",https://snowboarding8090.com/boards-1980-1995/ | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.snowdb.com/ | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://archive.org/details/tws-89-93 | https://snowboarder.com/transworld-snowboarding-archive/snowboarding-photos/9900-product-preview-j-l
lib-tech,Lib Tech,1990,,active,Mike Olson and Pete Saari,USA,"Sequim, Washington",Mervin Manufacturing (Altamont Capital; formerly Quiksilver 1997-2013),verified,"'Liberace Technologies'; launched 1990 as a second Mervin brand. Magne-Traction (2004), Skate Banana (2006). Quiksilver bought Mervin in Aug 1997 for $7M. | Lib Tech history page references its first rider Kris Jamieson in 1990 and Jamie Lynn from 1993; early-90s boards (Emma Peel 1992) in museums. Introduced Magne-Traction (2004) and Banana rocker (Skate Banana, 2006/07). Founding year not stated on the pages consulted.",https://www.lib-tech.com/about-lib-tech/history | https://www.mervin.com/about/history/ | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.snowboarder.com/snowboarders/history-mervin-surf-skate-snow | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html
limited,Limited,1993,,defunct,Perry Gladstone (with Ricardo Camargo),Canada,"Toronto, Ontario","Volant (1998), then Gen-X/Global Sports (1999)",verified,Grew from a kitchen to Canada's largest snowboard maker in the mid-90s; launched Vehicle Magazine 1995. Trademark expunged; LTD name later used on price-point boards (SnowDB).,https://grokipedia.com/page/limited_snowboards | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.snowdb.com/
liquid,Liquid,1994,,defunct,,USA,"Preston, Washington",Ride,verified,"Ride's lower-priced brand for regional/large-format retailers, introduced 1994.",https://www.encyclopedia.com/books/politics-and-business-magazines/ride-inc | https://www.the-house.com/portal/ride-inc-history/
lobster,Lobster,2011,2025,defunct,Eiki and Halldor Helgason,Iceland,,Nidecker Group,verified,Twin freestyle boards with Bataleon 3BT; phased out by Nidecker in 2025. | Uses Bataleon Triple Base Technology; made with Low Pressure Studio.,https://whitelines.com/brands/lobster | http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html | https://grokipedia.com/page/Nidecker | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html
local-motion,Local Motion,,,defunct,,USA,Hawaii,,likely,,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
look,Look,1986,1994,defunct,,France,,,verified,French binding maker's snowboard line; Bert Lamar Freestyle 'Trick Stick' (1988) claimed as first twin-tip freestyle board. Faded by 1994. | Ski-binding maker whose snowboard line (1988-1991 in sources) carried the Bert Lamar pro models before Lamar became its own brand.,http://www.illicitsnowboarding.com/2012/03/legends-of-fallen-vintage-snowboard.html | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93
mambo,Mambo,,,defunct,,Australia,,,likely,,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
meatfly,Meatfly,1995,,active,,Czech Republic,,,likely,Best known for outerwear; 19 boards in 2012.,http://www.illicitsnowboarding.com/2012/01/made-in-snowboard-brands-from.html
mistral,Mistral,,,defunct,,Netherlands,,,likely,"Windsurf company entered snowboards 1987 (Swallowtail model, tri-groove base). Michigan museum lists a Mistral in Maryland. Mistral group bought Fanatic (incl. snowboard brands) in 1999. | Windsurf brand with snowboards from 1987 (swallowtail) through the early 1990s.",https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://www.windsurf.co.uk/fanatic-40-winning-history/ | https://archive.org/details/ISM-87-91 | https://archive.org/details/tws-89-93
morrow,Morrow,1989,,defunct,Rob Morrow and Neil Morrow,USA,"Salem, Oregon",K2 (assets bought March 1999),verified,"Blaze (1990) first board; carbon torsion box, spoon nose, Lunchtray short park board. Went public Dec 1995; bought Westbeach 1997; assets to K2 1999 and faded as a price-point brand. Todd Richards runs an archive Instagram (2024). | Founded October 1989 (Snowboarder timeline); went public 1995; bought by K2 around 2000 (Retro Snow).",https://www.snowboarder.com/news/morrow-snowboards-instagram-march-2024 | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s | https://snowbrains.com/top-5-most-missed-snowboard-brands-according-to-snowbrains-readers/ | https://www.snowboarder.com/news/snowboard-history-timeline-part-21980s | https://retrosnow.com/shop/morrow/libtech-91-morrow/morrow-blaze/
mosirita,Mosirita,,,active,,Japan,Hokkaido,,likely,Hand-crafted custom boards.,https://snowexplorers.com/article/japan-specific-snow-brands/
moss-snowstick,Moss Snowstick,1971,,active,Shinzo Tanuma,Japan,,,verified,Japanese snowsurf pioneer; brand dates itself to 1971. First Moss snowsurf line 1979; Snowstick V-1 1981. Michigan museum credits 'Shinzo Kamakura' (Kamakura is the Shonan location). | Japanese snowsurf pioneer; site states established 1971.,https://mosssnowstick.com/ | https://www.fieldmag.com/articles/most-influential-international-snowboard-brands | https://snowexplorers.com/article/japan-specific-snow-brands/ | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.mosssnowstick.com/
naked-boards,Naked Boards,,,defunct,,USA,California,,likely,Factory became Aggression.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
nash-skifer,Nash Skifer,1969,,defunct,,USA,,Nash (water ski maker),likely,Snurfer-type board from water-ski maker Nash.,http://www.illicitsnowboarding.com/2013/04/legends-of-fallen-ii-stickers-of-lost.html | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
nectar,Nectar,,,defunct,,USA,California,,likely,,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
never-summer,Never Summer,1991,,active,Tracey Canaday and Tim Canaday,USA,"Denver, Colorado",,verified,"Handcrafted in Denver; first patent on hybrid rocker/camber. Only surviving Colorado-native manufacturer; builds for Sims and Academy. | Brand history page: established 1991 in Denver; timeline back to 1983 (Canaday brothers' early boards, per Whitelines). | Hand-built in Denver.",https://www.neversummer.com/pages/about-us | https://www.summitdaily.com/news/innovation-drove-smaller-colorado-snowboard-companies/ | https://whitelines.com/brands/never-summer | https://neversummer.com/pages/never-summers-history | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html
niche,Niche,2009,,active,,USA,"Salt Lake City, Utah",,verified,"Female-founded; eco materials; Recyclamine recyclable boards. | Niche Snowboards; catalogs on Issuu published by Ana Van Pelt for 2016/17, 2018/19, 2020/21 seasons. Model names not extracted (Issuu content not readable). THIN.",https://www.nichesnowboards.com/pages/about | https://issuu.com/nichesnowboards/docs/niche_snowboards_1617_catalog_issuu
nidecker,Nidecker,,,active,Henri Nidecker,Switzerland,Rolle,Nidecker Group,verified,"Wood workshop in Etoy 1887; skis 1912; first 50 snowboards handcrafted in Rolle 1984; snowboard-only from 1987. First asymmetric board 1990. Nidecker Group (2008) owns Jones, YES, Flow (2016), Rome (2018), Bataleon, Lobster, thirtytwo/etnies (2024). | Whitelines: company founded 1887, snowboards since 1984. 1988 Nidecker Lipstick in Michigan Snowboard Museum. | Snowboards since 1984; Lake Geneva region; Megalight/Ultralight innovations.",https://www.ndk.swiss/heritage/ | https://www.ndk.group/ | https://www.absolute-snow.com/articles/40-years-of-nidecker-snowboards | https://grokipedia.com/page/Nidecker | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.evo.com/shop/snowboard/snowboards/nidecker
nitro,Nitro,1990,,active,Tommy Delago and Sepp Ardelt,USA,"Hunenberg, Switzerland (founded Seattle; development Oberammergau, Germany)",,verified,"Formed 1989, production 1990 (Fusion first-year board). 50% sold to Dolomite Jan 1997, merged into Tecnica 1998; later independent again. Subsidiaries Nitro/Raiden bindings, L1 outerwear. Snowboarder-owned. | Founded 1990 in Seattle; HQ now Hunenberg, Switzerland; privately owned. Michigan Snowboard Museum notes 'formed in 1989 / established 1990'. | Development in Oberammergau, Germany. | Michigan museum dates Nitro to 1989/1990; first models Fusion, Pyro, EFT documented for model year 1991.",https://www.nitrosnowboards.com/pages/history-heritage | https://onboardmag.com/brands/nitro-snowboards | https://de.wikipedia.org/wiki/Nitro_Snowboards | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.snowboard-zezula.com/blog/791/nitro-snowboards-30th-anniversary | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://archive.org/details/ISM-87-91
nobile,Nobile,1994,,active,Dariusz Rosiak,Poland,Bielsko-Biala,Nobile Sports Sp. z o.o.,verified,Started for snowboards; kiteboards from 2004; handmade in Europe. | Factory also builds for other brands (e.g. Slash).,https://www.boardsportsource.com/nobile-premium-made-in-europe/ | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/ | https://nobilesports.com/ | https://www.boardsportsource.com/slash-by-gigi-snowboards-preview-24-25/
o-matic,O-Matic,,,dormant,,,,,likely,Listed on SnowDB catalog. Current status not verified.,https://www.snowdb.com/
oes,OES,,,active,,Spain,,,likely,OnEdge Style (oes.cat).,https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
ogasaka,Ogasaka,,,active,Hamataro Ogasaka,Japan,Nagano (Iiyama),Ogasaka Ski Manufacturing,verified,Japan's oldest ski maker; first snowboards 1985. | Ski maker founded 1912; snowboard start year not stated.,https://www.ogasaka-ski.co.jp/la/en/about/history/ | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/ | https://www.ogasaka-snowboard.com/company.html
omni,Omni,1986,,defunct,,Australia,,,likely,Small batch; originally a skate maker.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
option,Option,1992,,defunct,Lindsay Rogers (Geoff Power president),Canada,"Vancouver, British Columbia",,verified,"Formed 1991/Aug 1992 from Powder Stick; Canadian Exporter of the Year 1997; acquired NFA apparel. Vancouver factory later home to Wired. | Pique Newsmagazine: independent Vancouver manufacturer, CEO Geoff Power, 86 employees and 1997 sales over $6M; Kevin Sansalone and Chris Dufficy pro models. Last catalog seen is 2008/09 (SnowDB, Shayboarder). Closure year not confirmed.",https://www.snowboardmaterials.com/index.php/about-us | https://jeffharbaugh.com/hey-how-come-youre-still-around-conversations-with-survivors/ | https://gdharries.com/journal/twenty-eight-years-of-snowboards | https://kingsnowboard.com/blogs/features/wired-snowboards-made-in-canada | https://www.snowdb.com/ | https://www.piquenewsmagazine.com/whistler-news/option-boards-2458356 | https://www.snowdb.com/catalog/option | https://www.shayboarder.com/2008/02/option-snowboards-2008-2009.html
original-sin,Original Sin,,,defunct,,USA,,,likely,Documented here only via the 1997 women's preview (Team series).,https://snowboarder.com/featured/1997-preview-of-womens-snowboard-equipment
outland,Outland,1983,1984,defunct,James Kalssen (with Neil Daffern),Canada,British Columbia,,likely,,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
oxess,Oxess,1993,,active,Marcel Brunner,Switzerland,,,verified,"Race/carving boards and skis; garage start; CNC investment 2013-14. | Swiss race/carve manufacturer; hardboot, softboot and skwal boards.",https://oxess.ch/pages/company-introduction | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/ | https://www.oxess.ch/
oxygen,Oxygen,,,defunct,,Austria,,Atomic,likely,"Atomic-owned 1990s snowboard brand (e.g. Dangerous 170, 1997/98; 1993 Oxygen Xe). Founding year not documented. | Only documented here for model year 2000 (Vibe, Supercross).",https://grokipedia.com/page/Atomic_Skis | https://gdharries.com/journal/twenty-eight-years-of-snowboards | https://www.snowboarder.com/news/snowboard-lifes-top-25-board-test-2000 | https://www.snowboarder.com/news/board-test-board-specs
palmer,Palmer,1995,,active,Shaun Palmer,USA,,,likely,"Honeycomb, Crown race board; prepreg carbon Platinum line. | Snowboarder (2003): established 1995 by Shaun Palmer; known for honeycomb cores, cap sidewalls, inlaid bases and the Power Link System. Catalog seen through 2011/12; Palmer-branded boards still sold by European retailers.",https://www.absolute-snow.com/brands/palmer | https://www.snowdb.com/ | https://www.snowboarder.com/news/palmers-new-crown-and-shock-boards | https://www.snowdb.com/catalog/palmer | https://www.glisshop.co.uk/snowboard/pack-board-bindings/palmer/
pogo,Pogo,1983,,active,Martin Sammet and Jogi Marz,Germany,Hosslinsulz,,verified,Handmade one-off snowboards/longboards; lifetime guarantee; 40th anniversary 2023.,https://www.sata.com/en-amn/information/practice-reports/boards-that-mean-the-world | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
powder-stick,Powder Stick,1983,1992,defunct,Lindsay Rogers,Canada,"Calgary, Alberta",,verified,One of the first Canadian brands; became Option Snowboards (1991/92).,https://www.snowboardmaterials.com/index.php/about-us | https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
prana-punks,Prana Punks,,,active,Naoyuki Watanabe,Japan,,,likely,Kiso hinoki cypress cores.,https://snowexplorers.com/article/japan-specific-snow-brands/
prior,Prior,1989,,active,Chris Prior,Canada,"Whistler, British Columbia (founded North Vancouver)",,verified,Garage start in North Vancouver; moved to Whistler 1999; splitboards from 1999. Chris Prior died 2017. | Handcrafted at the base of Whistler Mountain since 1989 (Snowboarder 2019 product showroom).,https://www.priorsnow.com/pages/about-us | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/ | https://www.snowboarder.com/news/prior-snowboards-product-showroom-2019
prop,Prop,,,defunct,Matt Donovan,USA,"Santa Barbara, California",,likely,Early 1980s; claimed first twin design.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
public,Public,2015,,active,Joe Sexton,USA,"Denver, Colorado",,verified,Community-driven brand; PUBLIC Research line 2023/24. | Public Snowboards; launched fall 2016 with shapes designed with Darrell Mathes.,https://publicsnowboards.com/pages/about | https://www.snowboarder.com/gear/joe-sexton-launches-his-new-brand-public-snowboards/
pureboarding,Pureboarding,,,active,,,,,likely,,https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
rabanser,Rabanser,,,active,,Italy,,,likely,,https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
rabbit,Rabbit,1983,,defunct,Anders Wittusen,Norway,Oslo,,likely,"Wittusen also made Mountech, Pee Funk and Utopia boards.",https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
rad-air,Rad Air,1991,,active,Harry Gunz (ex-Crazy Banana),Switzerland,,,verified,Tanker model; Volkl bought 49% in 1997; family-run (Fabian Gunz). | Rad-Air; famous for the Tanker longboard.,https://www.boardsportsource.com/new-product/tanker-30-year-anniversary-rad-air/ | http://www.illicitsnowboarding.com/2013/04/legends-of-fallen-ii-stickers-of-lost.html | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://carversconnection.com/community/hard-boot/carving-snowboards-manufacturers-and-wbsite-links/
rebel-skate-snow,Rebel Skate & Snow,,,defunct,,USA,Oregon,,likely,,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
rice28,Rice28,,,active,,Japan,,,likely,Early Japanese freestyle maker.,https://snowexplorers.com/article/japan-specific-snow-brands/
ride,Ride,1992,,active,"Roger Madison, Tim Pogue and James Salter",USA,"Preston, Washington (original)",K2 Sports / Elevate Outdoor Collective (since Aug 1999),verified,"Founded Sept 1992; first pure snowboard NASDAQ stock May 1994. Bought Thermal/5150 (1995), SMP (1995), Device (1997); launched Liquid (1994), Preston, Cappel. Sold to K2 Aug 1999 for $18M. | Slimewalls, Cleave Edge. | First boards for the 1992-93 season; went public on NASDAQ 1994; acquired Liquid, 5150, SMP, Thermal (Ride Manufacturing).",https://www.the-house.com/portal/ride-inc-history/ | https://www.encyclopedia.com/books/politics-and-business-magazines/ride-inc | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.snowboarder.com/news/snowboard-history-timeline-part-31990s | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html
ripcurl-snowsurf-co,Ripcurl Snowsurf Co.,,,defunct,Thierry Donnard,Australia,Victoria,,likely,1980s.,https://www.michigansnowboardmuseum.com/old-snowboard-reference-list.html
rome,Rome,2001,,active,Josh Reid and Paul Maravetz,USA,"Waterbury, Vermont",Nidecker Group (2018),verified,"Ex-Burton founders; Agent, Artifact; Nidecker acquired 2018. | Rome SDS; Vermont-based (Whitelines brand guide); city not stated in sources consulted. | Vermont; Snowboard Design Syndicate.",https://www.romesnowboards.com/pages/about | https://whitelines.com/brands/rome-snowboards | https://www.vtssm.org/snowboarding | https://grokipedia.com/page/Nidecker | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.evo.com/shop/snowboard/snowboards/rome
rossignol,Rossignol,,,active,Abel Rossignol,France,Saint-Jean-de-Moirans,Altor Equity Partners (from 2013),verified,"Ski maker; entered snowboards 1987 (first-year 'Surf/Bi-plane' 1988). Owned Emery bindings (1997-99), Dynastar. Quiksilver-owned 2005-2008. | French ski manufacturer; 1988 'Rossignol Surf' (Bi-Plane) is in the Michigan Snowboard Museum. Snowboard line active through 2026-27. | Founding details not sourced in this pass. | Ski maker; first snowboard ('Surf') 1988 per Michigan museum; ISM 1988 notes a French-made 160 cm board arriving late in 87/88.",https://grokipedia.com/page/Skis_Rossignol | https://www.michigansnowboardmuseum.com/the-neon-era--other-80s-decks.html | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://www.evo.com/shop/snowboard/snowboards/rossignol | https://archive.org/details/ISM-87-91
roxy,Roxy,1990,,active,,USA,,Quiksilver,verified,"Women's division of Quiksilver; snowboards from 2003, built by Mervin Manufacturing. | Whitelines: Roxy snow since 1997; boards built by Mervin Manufacturing.",https://www.the-house.com/learn/the-history-of-roxy/ | https://www.mervin.com/about/history/ | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.snowdb.com/catalog/roxy
salomon,Salomon,,,active,Francois Salomon,France,Annecy (Epagny Metz-Tessy),Amer Sports (Anta) since 2005; Adidas 1997-2005,verified,Snowboards launched 1997; bought Bonfire 1995. Sister brand of Bonfire. | Ski company founded 1947 (Whitelines); snowboard line active through 2026-27. | Snowboards since 1997. | Documented here for model years 1999-2000 only.,https://grokipedia.com/page/Salomon_Group | https://whitelines.com/brands/salomon-snowboards | https://www.snowboarder.com/news/a-brief-history-of-mergers-in-the-snowboarding-world | https://whitelines.com/snowboard-gear/before-you-buy/guide-to-snowboard-brands.html | https://www.evo.com/shop/snowboard/snowboards/salomon | https://www.snowboarder.com/news/how-the-1999-womens-boards-stack-up-a-review | https://www.snowboarder.com/news/snowboard-lifes-top-25-board-test-2000 | https://www.snowboarder.com/news/board-test-board-specs
