bucket,existing_id,existing_name,existing_year,existing_source,catalog_slug,catalog_series,catalog_year,catalog_venue,catalog_confidence,note,reviewer_decision
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2007,FIS Snowboard World Cup,2007,,verified,import,
CATALOG_ONLY,,,,,holy-oly-revival--2007,Holy Oly Revival,2007,The Summit at Snoqualmie,likely,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2007,Mt. Baker Legendary Banked Slalom,2007,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,x-trail-jam--2007,Nissan X-Trail Jam,2007,Tokyo Dome,likely,import,
CATALOG_ONLY,,,,,oneill-evolution--2007,O'Neill Evolution,2007,Davos,likely,import,
CATALOG_ONLY,,,,,roxy-chicken-jam--2007-a,Roxy Chicken Jam,2007,Park City Mountain Resort,verified,import,
CATALOG_ONLY,,,,,roxy-chicken-jam--2007-b,Roxy Chicken Jam,2007,Kaprun,verified,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2007,Shakedown,2007,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,canada-winter-games-snowboarding--2007,Snowboarding at the Canada Winter Games,2007,Mt Sima,likely,import,
CATALOG_ONLY,,,,,spring-battle--2007,Spring Battle,2007,Absolut Park,verified,import,
CATALOG_ONLY,,,,,stylewars-australia--2007,StyleWars,2007,Falls Creek,verified,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2007,TTR World Snowboard Tour,2007,,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2007,The Arctic Challenge,2007,Oslo,likely,import,
CATALOG_ONLY,,,,,toyota-big-air--2007,Toyota Big Air,2007,Makomanai Sekisui Heim Stadium,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2007,Winter X Games (Aspen),2007,Buttermilk Mountain,verified,import,
CATALOG_ONLY,,,,,air-and-style--2008-a,Air + Style,2008,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,air-and-style--2008-b,Air + Style,2008,Olympiastadion,verified,import,
CATALOG_ONLY,,,,,burton-australian-open--2008,Burton Australian Open,2008,Perisher Blue,likely,import,
CATALOG_ONLY,,,,,burton-european-open--2008,Burton European Open,2008,Laax,verified,import,
CATALOG_ONLY,,,,,burton-global-open-series--2008,Burton Global Open Series,2008,,verified,import,
CATALOG_ONLY,,,,,burton-new-zealand-open--2008,Burton New Zealand Open,2008,Snow Park NZ,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2008,Burton US Open Snowboarding Championships,2008,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,dirksen-derby--2008,Dirksen Derby,2008,Mt. Bachelor,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2008,FIS Snowboard Junior World Championships,2008,Chiesa in Valmalenco,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2008,FIS Snowboard World Cup,2008,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2008,Mt. Baker Legendary Banked Slalom,2008,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,x-trail-jam--2008,Nissan X-Trail Jam,2008,Tokyo Dome,likely,import,
CATALOG_ONLY,,,,,nippon-open--2008,Nissan X-Trail Nippon Open,2008,ALTS Bandai,verified,import,
CATALOG_ONLY,,,,,oneill-evolution--2008,O'Neill Evolution,2008,Davos,likely,import,
CATALOG_ONLY,,,,,roxy-chicken-jam--2008,Roxy Chicken Jam,2008,Park City Mountain Resort,likely,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2008,Shakedown,2008,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2008,TTR World Snowboard Tour,2008,,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2008,The Arctic Challenge,2008,Holmenkollen,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2008,Toyota Big Air,2008,Makomanai Sekisui Heim Stadium,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2008,Winter Dew Tour,2008,Breckenridge Ski Resort,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2008,Winter X Games (Aspen),2008,Buttermilk Mountain,verified,import,
CATALOG_ONLY,,,,,world-rookie-finals--2008,World Rookie Finals,2008,Ischgl,likely,import,
CATALOG_ONLY,,,,,air-and-style--2009-a,Air + Style,2009,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,air-and-style--2009-b,Air + Style,2009,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,burton-canadian-open--2009,Burton Canadian Open Snowboarding Championships,2009,Canada Olympic Park,likely,import,
CATALOG_ONLY,,,,,burton-european-open--2009,Burton European Open,2009,Laax,verified,import,
CATALOG_ONLY,,,,,burton-new-zealand-open--2009,Burton New Zealand Open,2009,Cardrona Alpine Resort,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2009,Burton US Open Snowboarding Championships,2009,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,circuito-bichos--2009,Circuito Bichos,2009,,verified,import,
CATALOG_ONLY,,,,,dirksen-derby--2009,Dirksen Derby,2009,Mt. Bachelor,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2009,FIS Snowboard Junior World Championships,2009,Nagano,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--2009,FIS Snowboard World Championships,2009,Gangwon,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2009,FIS Snowboard World Cup,2009,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2009,Mt. Baker Legendary Banked Slalom,2009,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,nippon-open--2009,Nissan X-Trail Nippon Open,2009,ALTS Bandai,likely,import,
CATALOG_ONLY,,,,,oneill-evolution--2009,O'Neill Evolution,2009,Davos,likely,import,
CATALOG_ONLY,,,,,pleasure-jam--2009,Pleasure Jam,2009,Atomic Superpark Dachstein,verified,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2009,Shakedown,2009,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2009,TTR World Snowboard Tour,2009,,verified,import,
CATALOG_ONLY,,,,,the-brits--2009,The BRITS,2009,Laax,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2009,Toyota Big Air,2009,Makomanai Sekisui Heim Stadium,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2009-a,Winter Dew Tour,2009,Mount Snow Resort,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2009-b,Winter Dew Tour,2009,Northstar-at-Tahoe Resort,likely,import,
CATALOG_ONLY,,,,,winter-dew-tour--2009-c,Winter Dew Tour,2009,Breckenridge Ski Resort,likely,import,
CATALOG_ONLY,,,,,winter-games-nz--2009,Winter Games NZ,2009,"Dunedin, Naseby, Queenstown, Wanaka",likely,import,
CATALOG_ONLY,,,,,winter-x-games--2009,Winter X Games (Aspen),2009,Buttermilk Mountain,verified,import,
CATALOG_ONLY,,,,,world-rookie-finals--2009,World Rookie Finals,2009,Ischgl,likely,import,
CATALOG_ONLY,,,,,air-and-style--2010,Air + Style,2010,Beijing,verified,import,
CATALOG_ONLY,,,,,burton-canadian-open--2010,Burton Canadian Open Snowboarding Championships,2010,Canada Olympic Park,verified,import,
CATALOG_ONLY,,,,,burton-european-open--2010,Burton European Open,2010,Laax,likely,import,
CATALOG_ONLY,,,,,burton-global-open-series--2010,Burton Global Open Series,2010,,likely,import,
CATALOG_ONLY,,,,,burton-new-zealand-open--2010,Burton New Zealand Open,2010,Cardrona Alpine Resort,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2010,Burton US Open Snowboarding Championships,2010,Stratton Mountain,likely,import,
CATALOG_ONLY,,,,,dirksen-derby--2010,Dirksen Derby,2010,Mt. Bachelor,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2010,FIS Snowboard Junior World Championships,2010,Otago,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2010,FIS Snowboard World Cup,2010,,verified,import,
CATALOG_ONLY,,,,,holy-oly-revival--2010,Holy Oly Revival,2010,The Summit at Snoqualmie,likely,import,
CATALOG_ONLY,,,,,nescafe-champs-leysin--2010,NESCAFE Champs,2010,Leysin,likely,import,
CATALOG_ONLY,,,,,oneill-evolution--2010,O'Neill Evolution,2010,"Bolgen, Jakobshorn",verified,import,
CATALOG_ONLY,,,,,oakley-girl-sessions-ruka--2010,Oakley Girl Sessions,2010,Ruka BatteryPark,verified,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2010,Shakedown,2010,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,olympic-snowboarding--2010,Snowboarding at the Olympic Winter Games,2010,Cypress Mountain,verified,import,
CATALOG_ONLY,,,,,stylewars-australia--2010,StyleWars,2010,Falls Creek,likely,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2010,TTR World Snowboard Tour,2010,,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2010,The Arctic Challenge,2010,Oslo,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2010,Toyota Big Air,2010,Makomanai Sekisui Heim Stadium,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2010-a,Winter Dew Tour,2010,Snowbasin Resort,likely,import,
CATALOG_ONLY,,,,,winter-dew-tour--2010-b,Winter Dew Tour,2010,Mount Snow,likely,import,
CATALOG_ONLY,,,,,winter-dew-tour--2010-c,Winter Dew Tour,2010,Northstar-at-Tahoe Resort,likely,import,
CATALOG_ONLY,,,,,winter-dew-tour--2010-d,Winter Dew Tour,2010,Breckenridge Ski Resort,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2010,Winter X Games (Aspen),2010,Buttermilk Mountain,likely,import,
CATALOG_ONLY,,,,,winter-x-games-europe--2010,Winter X Games Europe,2010,Tignes,verified,import,
CATALOG_ONLY,,,,,world-rookie-finals--2010,World Rookie Finals,2010,Ischgl,likely,import,
CATALOG_ONLY,,,,,air-and-style--2011-a,Air + Style,2011,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,air-and-style--2011-b,Air + Style,2011,Olympiastadion,verified,import,
CATALOG_ONLY,,,,,air-and-style--2011-c,Air + Style,2011,Beijing,verified,import,
CATALOG_ONLY,,,,,burton-european-open--2011,Burton European Open,2011,Laax,verified,import,
CATALOG_ONLY,,,,,burton-new-zealand-open--2011,Burton New Zealand Open,2011,Cardrona Alpine Resort,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2011,Burton US Open Snowboarding Championships,2011,Stratton Mountain,verified,import,
CATALOG_ONLY,,,,,dirksen-derby--2011,Dirksen Derby,2011,Mt. Bachelor,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2011,FIS Snowboard Junior World Championships,2011,Chiesa in Valmalenco,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--2011,FIS Snowboard World Championships,2011,La Molina,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2011,FIS Snowboard World Cup,2011,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2011,Mt. Baker Legendary Banked Slalom,2011,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,nescafe-champs-leysin--2011,NESCAFE Champs,2011,Leysin,likely,import,
CATALOG_ONLY,,,,,norwegian-snowboard-championships--2011,Norwegian Snowboard Championships,2011,Oslo Vinterpark and Trysil,likely,import,
CATALOG_ONLY,,,,,oneill-evolution--2011,O'Neill Evolution,2011,"Bolgen, Jakobshorn",verified,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2011,Shakedown,2011,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,canada-winter-games-snowboarding--2011,Snowboarding at the Canada Winter Games,2011,Ski Martock,verified,import,
CATALOG_ONLY,,,,,stylewars-australia--2011,StyleWars,2011,,likely,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2011,TTR World Snowboard Tour,2011,,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2011,The Arctic Challenge,2011,Oslo Vinterpark,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2011,Toyota Big Air,2011,Makomanai Sekisui Heim Stadium,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2011-a,Winter Dew Tour,2011,Killington Resort,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2011-b,Winter Dew Tour,2011,Snowbasin Resort,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2011-c,Winter Dew Tour,2011,Breckenridge Ski Resort,verified,import,
CATALOG_ONLY,,,,,winter-games-nz--2011,Winter Games NZ,2011,"Dunedin, Methven, Naseby, Queenstown, Wanaka",likely,import,
CATALOG_ONLY,,,,,winter-x-games--2011,Winter X Games (Aspen),2011,Buttermilk Mountain,likely,import,
CATALOG_ONLY,,,,,winter-x-games-europe--2011,Winter X Games Europe,2011,Tignes,verified,import,
CATALOG_ONLY,,,,,world-rookie-finals--2011,World Rookie Finals,2011,Ischgl,likely,import,
CATALOG_ONLY,,,,,air-and-style--2012-a,Air + Style,2012,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,air-and-style--2012-b,Air + Style,2012,Beijing,verified,import,
CATALOG_ONLY,,,,,argentina-snowboard-tour--2012,Argentina Snowboard Tour,2012,,likely,import,
CATALOG_ONLY,,,,,burton-european-open--2012,Burton European Open,2012,Laax,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2012,Burton US Open Snowboarding Championships,2012,Stratton Mountain,verified,import,
CATALOG_ONLY,,,,,dirksen-derby--2012,Dirksen Derby,2012,"Carousel Chair, Mt. Bachelor",verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2012,FIS Snowboard Junior World Championships,2012,Sierra Nevada,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2012,FIS Snowboard World Cup,2012,,verified,import,
CATALOG_ONLY,,,,,hot-dawgz-and-hand-rails--2012,Hot Dawgz & Hand Rails,2012,Bear Mountain,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2012,Mt. Baker Legendary Banked Slalom,2012,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,nescafe-champs-leysin--2012,NESCAFE Champs,2012,Leysin,verified,import,
CATALOG_ONLY,,,,,oneill-evolution--2012,O'Neill Evolution,2012,Davos,likely,import,
CATALOG_ONLY,,,,,rey-del-park--2012,Rey del Park,2012,El Colorado,verified,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2012,Shakedown,2012,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,winter-youth-olympic-snowboarding--2012,Snowboarding at the Winter Youth Olympic Games,2012,"Nordkette, Innsbruck and Kuehtai",likely,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2012,TTR World Snowboard Tour,2012,,verified,import,
CATALOG_ONLY,,,,,tenjin-banked-slalom--2012,Tenjin Banked Slalom,2012,Tenjindaira,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2012,Toyota Big Air,2012,Sapporo Dome,verified,import,
CATALOG_ONLY,,,,,waengl-taengl--2012,Vans Waengl Taengl,2012,Mayrhofen,verified,import,
CATALOG_ONLY,,,,,wsf-south-america-tour--2012,WSF South America Tour,2012,,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2012-a,Winter Dew Tour,2012,Killington Resort,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2012-b,Winter Dew Tour,2012,Snowbasin Resort,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2012-c,Winter Dew Tour,2012,Breckenridge Ski Resort,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2012,Winter X Games (Aspen),2012,Buttermilk Mountain,verified,import,
CATALOG_ONLY,,,,,winter-x-games-europe--2012,Winter X Games Europe,2012,Tignes,verified,import,
CATALOG_ONLY,,,,,world-rookie-finals--2012,World Rookie Finals,2012,Ischgl,likely,import,
CATALOG_ONLY,,,,,world-snowboarding-championships--2012,World Snowboarding Championships,2012,Oslo,verified,import,
CATALOG_ONLY,,,,,air-and-style--2013-a,Air + Style,2013,Bergisel Stadium,verified,import,
CATALOG_ONLY,,,,,air-and-style--2013-b,Air + Style,2013,Mexico City,likely,import,
CATALOG_ONLY,,,,,air-and-style--2013-c,Air + Style,2013,Beijing,verified,import,
CATALOG_ONLY,,,,,audi-snowboard-series--2013,Audi Snowboard Series,2013,,verified,import,
CATALOG_ONLY,,,,,blue-mountain-fis-snowboard-world-cup--2013,Blue Mountain FIS Snowboard World Cup,2013,Blue Mountain Resort,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2013,Burton US Open Snowboarding Championships,2013,Vail Mountain,verified,import,
CATALOG_ONLY,,,,,canada-snowboard-national-championships--2013,Canadian National Snowboard Championships,2013,Big White Ski Resort,verified,import,
CATALOG_ONLY,,,,,dirksen-derby--2013,Dirksen Derby,2013,"Little Pine Chair, Mt. Bachelor",verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2013,FIS Snowboard Junior World Championships,2013,Erzurum,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--2013,FIS Snowboard World Championships,2013,Stoneham,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2013,FIS Snowboard World Cup,2013,,verified,import,
CATALOG_ONLY,,,,,hot-dawgz-and-hand-rails--2013,Hot Dawgz & Hand Rails,2013,Bear Mountain,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2013,Mt. Baker Legendary Banked Slalom,2013,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,nescafe-champs-leysin--2013,NESCAFE Champs,2013,Leysin,verified,import,
CATALOG_ONLY,,,,,oneill-evolution--2013,O'Neill Evolution,2013,Jakobshorn base,verified,import,
CATALOG_ONLY,,,,,rey-del-park--2013,Rey del Park,2013,El Colorado,verified,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2013,Shakedown,2013,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,snowboard-jamboree--2013,Snowboard Jamboree,2013,Stoneham Mountain Resort,likely,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2013,TTR World Snowboard Tour,2013,,verified,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2013,The Arctic Challenge,2013,Tryvann vinterpark,likely,import,
CATALOG_ONLY,,,,,toyota-big-air--2013,Toyota Big Air,2013,Sapporo Dome,verified,import,
CATALOG_ONLY,,,,,waengl-taengl--2013,Vans Waengl Taengl,2013,"Mayrhofen, Zillertal",verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2013,Winter Dew Tour,2013,Breckenridge Ski Resort,verified,import,
CATALOG_ONLY,,,,,winter-games-nz--2013,Winter Games NZ,2013,"Naseby, Queenstown, Wanaka",likely,import,
CATALOG_ONLY,,,,,winter-x-games--2013,Winter X Games (Aspen),2013,Buttermilk Mountain,verified,import,
CATALOG_ONLY,,,,,winter-x-games-europe--2013,Winter X Games Europe,2013,Tignes,likely,import,
CATALOG_ONLY,,,,,air-and-style--2014,Air + Style,2014,Beijing,verified,import,
CATALOG_ONLY,,,,,argentina-snowboard-tour--2014,Argentina Snowboard Tour,2014,,likely,import,
CATALOG_ONLY,,,,,audi-nines--2014,Audi Nines,2014,Livigno,likely,import,
CATALOG_ONLY,,,,,burton-european-open--2014,Burton European Open,2014,Laax,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2014,Burton US Open Snowboarding Championships,2014,Vail Mountain,verified,import,
CATALOG_ONLY,,,,,canada-snowboard-national-championships--2014,Canadian National Snowboard Championships,2014,Mont Tremblant,verified,import,
CATALOG_ONLY,,,,,dirksen-derby--2014,Dirksen Derby,2014,Mt. Bachelor,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2014,FIS Snowboard Junior World Championships,2014,Chiesa in Valmalenco,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2014,FIS Snowboard World Cup,2014,,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2014,Mt. Baker Legendary Banked Slalom,2014,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,oneill-evolution--2014,O'Neill Evolution,2014,Davos,verified,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2014,Shakedown,2014,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,snowboard-jamboree--2014,Snowboard Jamboree,2014,Stoneham Mountain Resort and Quebec City,verified,import,
CATALOG_ONLY,,,,,olympic-snowboarding--2014,Snowboarding at the Olympic Winter Games,2014,Rosa Khutor Extreme Park,verified,import,
CATALOG_ONLY,,,,,swiss-snowboard-championships--2014,Swiss Snowboard Championships,2014,Corvatsch,verified,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2014,TTR World Snowboard Tour,2014,,likely,import,
CATALOG_ONLY,,,,,the-arctic-challenge--2014,The Arctic Challenge,2014,Oslo,verified,import,
CATALOG_ONLY,,,,,toyota-big-air--2014,Toyota Big Air,2014,Sapporo Dome,likely,import,
CATALOG_ONLY,,,,,winter-dew-tour--2014,Winter Dew Tour,2014,Breckenridge Ski Resort,likely,import,
CATALOG_ONLY,,,,,winter-x-games--2014,Winter X Games (Aspen),2014,Buttermilk Mountain,verified,import,
CATALOG_ONLY,,,,,world-rookie-finals--2014,World Rookie Finals,2014,Ischgl,likely,import,
CATALOG_ONLY,,,,,air-and-style--2015-a,Air + Style,2015,Innsbruck,verified,import,
CATALOG_ONLY,,,,,air-and-style--2015-b,Air + Style,2015,Rose Bowl parking lot,verified,import,
CATALOG_ONLY,,,,,air-and-style--2015-c,Air + Style,2015,Beijing Olympic Sports Centre,likely,import,
CATALOG_ONLY,,,,,burton-european-open--2015,Burton European Open,2015,Laax,likely,import,
CATALOG_ONLY,,,,,burton-rail-days--2015,Burton Rail Days,2015,Roppongi Hills,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2015,Burton US Open Snowboarding Championships,2015,Vail Mountain,verified,import,
CATALOG_ONLY,,,,,dirksen-derby--2015,Dirksen Derby,2015,"Carousel Chair, Mt. Bachelor",verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2015,FIS Snowboard Junior World Championships,2015,Yabuli,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-championships--2015,FIS Snowboard World Championships,2015,Kreischberg,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2015,FIS Snowboard World Cup,2015,,verified,import,
CATALOG_ONLY,,,,,kaunertal-opening--2015,Kaunertal Opening,2015,Snowpark Kaunertal,likely,import,
CATALOG_ONLY,,,,,pleasure-jam--2015,Pleasure Jam,2015,"Superpark Dachstein, Dachstein Glacier",verified,import,
CATALOG_ONLY,,,,,shakedown-snowboard-games--2015,Shakedown,2015,Mont Saint-Sauveur,likely,import,
CATALOG_ONLY,,,,,showcase-showdown--2015,Showcase Showdown,2015,"Nintendo Terrain Park, Blackcomb Mountain",verified,import,
CATALOG_ONLY,,,,,snowboard-jamboree--2015,Snowboard Jamboree,2015,"Stoneham Mountain Resort and Ilot Fleurie, Quebec City",verified,import,
CATALOG_ONLY,,,,,canada-winter-games-snowboarding--2015,Snowboarding at the Canada Winter Games,2015,Prince George,likely,import,
CATALOG_ONLY,,,,,suomi-tour--2015,Suomi Tour,2015,,verified,import,
CATALOG_ONLY,,,,,ttr-world-snowboard-tour--2015,TTR World Snowboard Tour,2015,,verified,import,
CATALOG_ONLY,,,,,tenjin-banked-slalom--2015,Tenjin Banked Slalom,2015,Tenjindaira Ski Resort,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2015,Winter Dew Tour,2015,Breckenridge Ski Resort,verified,import,
CATALOG_ONLY,,,,,winter-games-nz--2015,Winter Games NZ,2015,"Naseby, Queenstown, Wanaka",likely,import,
CATALOG_ONLY,,,,,winter-x-games--2015,Winter X Games (Aspen),2015,Buttermilk Mountain,likely,import,
CATALOG_ONLY,,,,,world-rookie-finals--2015,World Rookie Finals,2015,Ischgl,likely,import,
CATALOG_ONLY,,,,,world-rookie-tour--2015,World Rookie Tour,2015,,verified,import,
CATALOG_ONLY,,,,,world-ski-snowboard-festival--2015,World Ski & Snowboard Festival,2015,Whistler Blackcomb and Whistler Village,verified,import,
CATALOG_ONLY,,,,,air-and-style--2016-a,Air + Style,2016,Olympiaworld Innsbruck,likely,import,
CATALOG_ONLY,,,,,air-and-style--2016-b,Air + Style,2016,Exposition Park,verified,import,
CATALOG_ONLY,,,,,audi-nines--2016,Audi Nines,2016,Watles,likely,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2016,Burton US Open Snowboarding Championships,2016,Vail Mountain,verified,import,
CATALOG_ONLY,,,,,fis-snowboard-junior-world-championships--2016,FIS Snowboard Junior World Championships,2016,Seiser Alm (ITA) and Rogla (SLO),verified,import,
CATALOG_ONLY,,,,,fis-snowboard-world-cup--2016,FIS Snowboard World Cup,2016,,verified,import,
CATALOG_ONLY,,,,,laax-open--2016,LAAX OPEN,2016,LAAX,verified,import,
CATALOG_ONLY,,,,,mt-baker-legendary-banked-slalom--2016,Mt. Baker Legendary Banked Slalom,2016,Mt. Baker Ski Area,verified,import,
CATALOG_ONLY,,,,,pleasure-jam--2016,Pleasure Jam,2016,Superpark Dachstein,verified,import,
CATALOG_ONLY,,,,,qparks-snowboard-tour--2016,QParks Snowboard Tour,2016,,verified,import,
CATALOG_ONLY,,,,,snowboard-jamboree--2016,Snowboard Jamboree,2016,Ilot Fleurie,verified,import,
CATALOG_ONLY,,,,,winter-youth-olympic-snowboarding--2016,Snowboarding at the Winter Youth Olympic Games,2016,"Kanthaugen Freestyle Arena, Lillehammer and Hafjell, Oyer",likely,import,
CATALOG_ONLY,,,,,tenjin-banked-slalom--2016,Tenjin Banked Slalom,2016,Tenjin Ski Resort,verified,import,
CATALOG_ONLY,,,,,winter-dew-tour--2016,Winter Dew Tour,2016,Breckenridge Ski Resort,verified,import,
CATALOG_ONLY,,,,,winter-x-games--2016,Winter X Games (Aspen),2016,Buttermilk Mountain,verified,import,
CATALOG_ONLY,,,,,world-snowboarding-championships--2016,World Snowboarding Championships,2016,Yabuli,verified,import,
CATALOG_ONLY,,,,,x-games-norway--2016,X Games Norway,2016,Oslo Winter Park (snowboard superpipe) and Toyen (big air),verified,import,
CATALOG_ONLY,,,,,air-and-style--2017-a,Air + Style,2017,Olympiaworld Innsbruck,likely,import,
CATALOG_ONLY,,,,,air-and-style--2017-b,Air + Style,2017,Beijing,likely,import,
CATALOG_ONLY,,,,,air-and-style--2017-c,Air + Style,2017,Exposition Park,verified,import,
CATALOG_ONLY,,,,,audi-nines--2017,Audi Nines,2017,Watles,likely,import,
CATALOG_ONLY,,,,,big-white-para-snowboard-world-cup--2017,Big White Para Snowboard World Cup,2017,Big White Ski Resort,verified,import,
CATALOG_ONLY,,,,,us-open-snowboarding--2017,Burton US Open Snowboarding Championships,2017,Vail Mountain,verified,import,
CATALOG_ONLY,,,,,canada-snowboard-national-championships--2017-a,Canadian National Snowboard Championships,2017,Mt St Louis Moonstone and Horseshoe Resort,verified,import,
CATALOG_ONLY,,,,,canada-snowboard-national-championships--2017-b,Canadian National Snowboard Championships,2017,Mont Tremblant,verified,import,
CATALOG_ONLY,,,,,dirksen-derby--2017-b,Dirksen Derby,2017,"Sunrise Lodge, Mt. Bachelor",verified,import,
CATALOG_ONLY,,,,,dirksen-derby--2017-a,Dirksen Derby,2017,Hoodoo Ski Area,verified,import,
